ID,Year,Area code,Area name,SOC code,Occupational title,Employment,Average wage,25th Percentile,50th Percentile,75th Percentile,Annual wage
30,2022,53,Washington,11-9111,Medical and Health Services Managers,5547.0,66.62,47.28,60.5,78.26,138580.0
31,2022,53,Washington,11-9121,Natural Sciences Managers,2049.0,83.0,60.54,75.94,,172640.0
32,2022,53,Washington,11-9131,Postmasters and Mail Superintendents,259.0,38.82,35.06,37.54,42.92,80750.0
33,2022,53,Washington,11-9141,"Property, Real Estate, and Community Association Managers",2416.0,49.31,34.65,45.03,59.98,102570.0
34,2022,53,Washington,11-9151,Social and Community Service Managers,4775.0,40.54,36.71,36.83,45.57,84320.0
35,2022,53,Washington,11-9161,Emergency Management Directors,126.0,53.87,43.42,48.78,60.76,112050.0
36,2022,53,Washington,11-9171,Funeral Home Managers,25.0,52.52,36.98,41.16,71.95,109250.0
37,2022,53,Washington,11-9179,"Personal Service Managers, All Other",42.0,32.46,22.71,29.13,42.88,67510.0
38,2022,53,Washington,11-9199,"Managers, All Other",11364.0,70.29,48.42,61.99,81.14,146200.0
39,2022,53,Washington,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",202.0,49.46,29.85,35.45,57.33,102870.0
40,2022,53,Washington,13-1020,Buyers and Purchasing Agents,15228.0,37.52,28.86,36.39,46.18,78040.0
41,2022,53,Washington,13-1031,"Claims Adjusters, Examiners, and Investigators",4953.0,37.22,29.45,37.42,43.53,77420.0
42,2022,53,Washington,13-1032,"Insurance Appraisers, Auto Damage",268.0,37.19,29.57,37.13,47.35,77340.0
43,2022,53,Washington,13-1041,Compliance Officers,8521.0,38.75,29.49,37.13,47.61,80600.0
44,2022,53,Washington,13-1051,Cost Estimators,5963.0,38.67,28.92,37.02,47.44,80440.0
45,2022,53,Washington,13-1071,Human Resources Specialists,20703.0,40.36,29.02,37.25,48.29,83940.0
46,2022,53,Washington,13-1075,Labor Relations Specialists,2155.0,43.39,30.13,40.75,49.44,90240.0
47,2022,53,Washington,13-1081,Logisticians,4213.0,43.94,36.8,44.23,48.96,91390.0
48,2022,53,Washington,13-1082,Project Management Specialists,17067.0,58.08,39.19,59.03,74.47,120800.0
49,2022,53,Washington,13-1111,Management Analysts,22485.0,55.16,38.49,49.56,63.64,114730.0
50,2022,53,Washington,13-1121,"Meeting, Convention, and Event Planners",2760.0,34.04,22.92,29.09,38.38,70810.0
51,2022,53,Washington,13-1131,Fundraisers,2850.0,32.41,23.76,29.88,37.9,67420.0
52,2022,53,Washington,13-1141,"Compensation, Benefits, and Job Analysis Specialists",2039.0,42.31,30.3,38.22,48.92,88000.0
53,2022,53,Washington,13-1151,Training and Development Specialists,6276.0,39.02,29.01,37.13,48.32,81170.0
54,2022,53,Washington,13-1161,Market Research Analysts and Marketing Specialists,23476.0,44.81,28.63,38.3,61.21,93210.0
55,2022,53,Washington,13-1199,"Business Operations Specialists, All Other",40719.0,40.43,29.13,37.35,48.26,84080.0
56,2022,53,Washington,13-2011,Accountants and Auditors,31367.0,42.01,30.42,38.31,48.6,87370.0
57,2022,53,Washington,13-2020,Property Appraisers and Assessors,948.0,41.54,29.74,37.82,48.44,86410.0
58,2022,53,Washington,13-2031,Budget Analysts,775.0,41.69,36.31,39.28,49.17,86720.0
59,2022,53,Washington,13-2041,Credit Analysts,1649.0,41.42,29.36,36.98,48.92,86160.0
60,2022,53,Washington,13-2051,Financial and Investment Analysts,6486.0,49.88,36.43,47.76,64.14,103760.0
61,2022,53,Washington,13-2052,Personal Financial Advisors,5016.0,69.66,36.76,56.42,,144890.0
62,2022,53,Washington,13-2053,Insurance Underwriters,1456.0,44.8,30.25,38.92,58.18,93180.0
63,2022,53,Washington,13-2054,Financial Risk Specialists,514.0,45.71,36.92,40.23,50.31,95080.0
64,2022,53,Washington,13-2061,Financial Examiners,426.0,47.44,36.08,47.64,53.19,98680.0
65,2022,53,Washington,13-2071,Credit Counselors,307.0,25.24,22.25,24.99,28.86,52490.0
66,2022,53,Washington,13-2072,Loan Officers,8416.0,39.62,22.85,30.06,48.4,82400.0
67,2022,53,Washington,13-2082,Tax Preparers,1902.0,26.73,18.54,23.35,30.38,55610.0
68,2022,53,Washington,13-2099,"Financial Specialists, All Other",,38.43,27.48,34.04,46.43,79930.0
69,2022,53,Washington,15-1211,Computer Systems Analysts,14319.0,53.87,44.33,49.49,62.29,112050.0
70,2022,53,Washington,15-1212,Information Security Analysts,4005.0,59.4,46.52,61.24,72.96,123550.0
71,2022,53,Washington,15-1221,Computer and Information Research Scientists,2357.0,65.75,49.56,73.53,73.53,136770.0
72,2022,53,Washington,15-1231,Computer Network Support Specialists,3274.0,42.83,30.24,38.26,49.08,89090.0
73,2022,53,Washington,15-1232,Computer User Support Specialists,17843.0,30.77,23.21,29.37,36.98,64010.0
74,2022,53,Washington,15-1241,Computer Network Architects,3446.0,62.17,48.54,61.62,77.75,129320.0
75,2022,53,Washington,15-1242,Database Administrators,2313.0,52.64,38.55,49.33,62.73,109490.0
76,2022,53,Washington,15-1243,Database Architects,1858.0,72.32,63.01,79.25,80.04,150430.0
77,2022,53,Washington,15-1244,Network and Computer Systems Administrators,7902.0,46.39,37.46,47.04,51.81,96490.0
78,2022,53,Washington,15-1251,Computer Programmers,3851.0,88.27,56.1,80.73,,183610.0
79,2022,53,Washington,15-1252,Software Developers,81521.0,69.78,60.93,73.06,77.81,145150.0
80,2022,53,Washington,15-1253,Software Quality Assurance Analysts and Testers,10241.0,50.43,37.46,48.73,62.29,104900.0
81,2022,53,Washington,15-1254,Web Developers,2806.0,49.0,33.71,47.61,61.69,101920.0
82,2022,53,Washington,15-1255,Web and Digital Interface Designers,14722.0,67.87,48.47,72.14,90.98,141170.0
83,2022,53,Washington,15-1299,"Computer Occupations, All Other",13133.0,46.75,29.18,47.14,61.76,97250.0
84,2022,53,Washington,15-2011,Actuaries,212.0,57.56,45.27,49.57,69.68,119720.0
85,2022,53,Washington,15-2031,Operations Research Analysts,1830.0,47.33,37.37,41.59,49.21,98440.0
86,2022,53,Washington,15-2041,Statisticians,1460.0,47.8,37.53,45.8,56.44,99430.0
87,2022,53,Washington,15-2051,Data Scientists,2463.0,64.38,48.73,62.29,78.33,133900.0
88,2022,53,Washington,15-2099,"Mathematical Science Occupations, All Other",,34.25,23.51,30.03,45.49,71250.0
89,2022,53,Washington,17-1011,"Architects, Except Landscape and Naval",4179.0,43.74,36.13,39.2,48.28,90990.0
90,2022,53,Washington,17-1012,Landscape Architects,505.0,36.66,29.24,37.72,38.9,76260.0
91,2022,53,Washington,17-1021,Cartographers and Photogrammetrists,557.0,40.78,33.69,38.23,47.77,84820.0
92,2022,53,Washington,17-1022,Surveyors,675.0,42.06,35.78,38.41,48.4,87490.0
93,2022,53,Washington,17-2011,Aerospace Engineers,4109.0,64.41,49.4,63.17,80.84,133970.0
94,2022,53,Washington,17-2021,Agricultural Engineers,33.0,38.59,29.68,34.68,44.21,80270.0
95,2022,53,Washington,17-2031,Bioengineers and Biomedical Engineers,739.0,52.6,38.15,47.91,61.24,109420.0
96,2022,53,Washington,17-2041,Chemical Engineers,463.0,56.52,43.3,50.36,73.03,117560.0
97,2022,53,Washington,17-2051,Civil Engineers,11609.0,46.8,37.69,45.95,53.3,97340.0
98,2022,53,Washington,17-2061,Computer Hardware Engineers,1828.0,80.28,62.15,73.3,92.44,166980.0
99,2022,53,Washington,17-2071,Electrical Engineers,8012.0,57.16,45.95,57.88,63.08,118890.0
100,2022,53,Washington,17-2072,"Electronics Engineers, Except Computer",2715.0,58.34,47.08,58.03,70.87,121340.0
101,2022,53,Washington,17-2081,Environmental Engineers,1628.0,52.95,38.44,48.87,62.58,110130.0
102,2022,53,Washington,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",318.0,49.73,38.21,48.35,61.11,103450.0
103,2022,53,Washington,17-2112,Industrial Engineers,6632.0,54.15,38.26,48.79,62.32,112630.0
104,2022,53,Washington,17-2121,Marine Engineers and Naval Architects,521.0,47.81,43.45,48.35,49.91,99440.0
105,2022,53,Washington,17-2131,Materials Engineers,746.0,63.51,49.09,62.79,80.37,132110.0
106,2022,53,Washington,17-2141,Mechanical Engineers,8228.0,48.66,37.57,47.61,59.13,101200.0
107,2022,53,Washington,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",,45.34,34.04,43.46,54.63,94300.0
108,2022,53,Washington,17-2161,Nuclear Engineers,,52.6,43.53,50.33,58.0,109410.0
109,2022,53,Washington,17-2171,Petroleum Engineers,67.0,57.01,47.35,58.29,63.77,118590.0
110,2022,53,Washington,17-2199,"Engineers, All Other",2943.0,52.37,37.54,49.09,62.79,108920.0
111,2022,53,Washington,17-3011,Architectural and Civil Drafters,2064.0,30.62,23.52,29.41,35.94,63690.0
112,2022,53,Washington,17-3012,Electrical and Electronics Drafters,197.0,35.56,24.86,34.46,40.5,73970.0
113,2022,53,Washington,17-3013,Mechanical Drafters,1348.0,30.7,23.21,29.14,36.68,63860.0
114,2022,53,Washington,17-3019,"Drafters, All Other",505.0,35.21,23.01,29.44,47.35,73240.0
115,2022,53,Washington,17-3021,Aerospace Engineering and Operations Technologists and Technicians,257.0,44.78,38.26,48.79,48.79,93130.0
116,2022,53,Washington,17-3022,Civil Engineering Technologists and Technicians,1530.0,33.86,29.02,34.97,37.67,70430.0
117,2022,53,Washington,17-3023,Electrical and Electronic Engineering Technologists and Technicians,2297.0,35.95,29.3,35.78,41.99,74780.0
118,2022,53,Washington,17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,203.0,35.89,29.07,36.61,48.1,74640.0
119,2022,53,Washington,17-3025,Environmental Engineering Technologists and Technicians,363.0,32.9,23.45,34.23,37.63,68430.0
120,2022,53,Washington,17-3026,Industrial Engineering Technologists and Technicians,874.0,33.35,23.32,29.82,38.02,69370.0
121,2022,53,Washington,17-3027,Mechanical Engineering Technologists and Technicians,724.0,33.42,26.6,30.01,37.2,69500.0
122,2022,53,Washington,17-3028,Calibration Technologists and Technicians,94.0,,,,,
123,2022,53,Washington,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",2416.0,38.6,29.33,37.53,47.35,80290.0
124,2022,53,Washington,17-3031,Surveying and Mapping Technicians,1090.0,26.91,22.51,26.91,29.58,55960.0
125,2022,53,Washington,19-1011,Animal Scientists,172.0,32.55,27.08,34.62,34.62,67700.0
126,2022,53,Washington,19-1012,Food Scientists and Technologists,150.0,31.57,26.31,30.15,36.4,65670.0
127,2022,53,Washington,19-1013,Soil and Plant Scientists,932.0,32.63,25.17,29.63,37.77,67860.0
128,2022,53,Washington,19-1021,Biochemists and Biophysicists,333.0,42.55,27.27,37.82,49.16,88500.0
129,2022,53,Washington,19-1022,Microbiologists,490.0,35.06,24.21,32.47,44.23,72930.0
130,2022,53,Washington,19-1023,Zoologists and Wildlife Biologists,1939.0,39.09,30.16,37.14,43.53,81310.0
131,2022,53,Washington,19-1029,"Biological Scientists, All Other",1237.0,44.1,30.14,39.05,48.97,91720.0
132,2022,53,Washington,19-1031,Conservation Scientists,983.0,36.08,29.43,34.69,39.58,75040.0
133,2022,53,Washington,19-1032,Foresters,567.0,40.0,33.3,37.98,47.39,83190.0
134,2022,53,Washington,19-1041,Epidemiologists,567.0,63.09,39.58,50.05,73.04,131220.0
135,2022,53,Washington,19-1042,"Medical Scientists, Except Epidemiologists",4949.0,51.44,31.28,47.91,62.64,107000.0
136,2022,53,Washington,19-1099,"Life Scientists, All Other",250.0,43.54,33.57,44.77,50.28,90550.0
137,2022,53,Washington,19-2012,Physicists,575.0,59.05,41.15,53.35,73.29,122810.0
138,2022,53,Washington,19-2021,Atmospheric and Space Scientists,129.0,47.34,35.81,45.22,53.38,98460.0
139,2022,53,Washington,19-2031,Chemists,1568.0,44.6,29.86,40.57,56.98,92770.0
140,2022,53,Washington,19-2032,Materials Scientists,404.0,54.82,38.37,49.0,62.67,114030.0
141,2022,53,Washington,19-2041,"Environmental Scientists and Specialists, Including Health",3406.0,41.59,30.98,38.01,48.7,86510.0
142,2022,53,Washington,19-2042,"Geoscientists, Except Hydrologists and Geographers",694.0,46.78,30.21,45.22,57.3,97310.0
143,2022,53,Washington,19-2043,Hydrologists,239.0,48.16,39.77,45.9,50.66,100160.0
144,2022,53,Washington,19-2099,"Physical Scientists, All Other",331.0,59.51,48.43,57.58,66.9,123790.0
145,2022,53,Washington,19-3011,Economists,419.0,51.19,39.77,49.62,58.23,106460.0
146,2022,53,Washington,19-3022,Survey Researchers,288.0,33.0,22.79,29.13,37.13,68650.0
147,2022,53,Washington,19-3033,Clinical and Counseling Psychologists,971.0,49.61,37.55,46.7,60.72,103190.0
148,2022,53,Washington,19-3034,School Psychologists,1263.0,46.05,38.22,47.11,48.84,95780.0
149,2022,53,Washington,19-3039,"Psychologists, All Other",396.0,50.79,46.25,53.38,59.85,105640.0
150,2022,53,Washington,19-3041,Sociologists,,33.41,29.83,29.94,37.61,69490.0
151,2022,53,Washington,19-3051,Urban and Regional Planners,2250.0,44.51,38.27,45.87,50.54,92580.0
152,2022,53,Washington,19-3091,Anthropologists and Archeologists,195.0,36.91,29.13,37.13,42.17,76770.0
153,2022,53,Washington,19-3093,Historians,29.0,38.9,29.36,37.38,47.61,80910.0
154,2022,53,Washington,19-3094,Political Scientists,223.0,53.0,36.47,57.58,64.61,110240.0
155,2022,53,Washington,19-3099,"Social Scientists and Related Workers, All Other",710.0,47.08,34.19,43.53,57.3,97930.0
156,2022,53,Washington,19-4012,Agricultural Technicians,941.0,22.69,18.15,21.04,26.85,47190.0
157,2022,53,Washington,19-4013,Food Science Technicians,520.0,22.54,18.2,21.03,25.68,46880.0
158,2022,53,Washington,19-4021,Biological Technicians,4292.0,25.43,21.35,23.83,29.63,52880.0
159,2022,53,Washington,19-4031,Chemical Technicians,1246.0,26.72,21.8,26.17,29.34,55580.0
160,2022,53,Washington,19-4042,"Environmental Science and Protection Technicians, Including Health",,31.75,23.5,29.18,44.3,66030.0
161,2022,53,Washington,19-4043,"Geological Technicians, Except Hydrologic Technicians",,24.88,23.14,23.71,25.75,51740.0
162,2022,53,Washington,19-4061,Social Science Research Assistants,514.0,23.73,20.94,21.17,27.02,49360.0
163,2022,53,Washington,19-4071,Forest and Conservation Technicians,1070.0,20.39,15.15,18.57,23.8,42420.0
164,2022,53,Washington,19-4092,Forensic Science Technicians,290.0,35.2,29.59,36.11,39.78,73210.0
165,2022,53,Washington,19-4099,"Life, Physical, and Social Science Technicians, All Other",1221.0,31.24,23.77,29.89,37.45,64990.0
166,2022,53,Washington,19-5011,Occupational Health and Safety Specialists,2822.0,45.08,37.24,41.56,50.73,93770.0
167,2022,53,Washington,19-5012,Occupational Health and Safety Technicians,461.0,37.27,28.41,37.64,45.08,77520.0
168,2022,53,Washington,21-1012,"Educational, Guidance, and Career Counselors and Advisors",5642.0,36.14,27.84,36.43,46.58,75160.0
169,2022,53,Washington,21-1013,Marriage and Family Therapists,399.0,23.66,18.84,22.66,27.08,49220.0
170,2022,53,Washington,21-1015,Rehabilitation Counselors,4476.0,24.81,19.0,22.78,28.52,51600.0
171,2022,53,Washington,21-1018,"Substance abuse, behavioral disorder, and mental health counselors",12390.0,27.16,21.74,23.73,30.23,56500.0
172,2022,53,Washington,21-1019,"Counselors, All Other",162.0,28.22,18.73,28.86,36.65,58710.0
173,2022,53,Washington,21-1021,"Child, Family, and School Social Workers",9026.0,28.96,22.86,28.82,34.61,60230.0
174,2022,53,Washington,21-1022,Healthcare Social Workers,4041.0,34.52,28.26,37.13,38.96,71800.0
175,2022,53,Washington,21-1023,Mental Health and Substance Abuse Social Workers,2483.0,28.61,19.74,29.43,36.66,59500.0
176,2022,53,Washington,21-1029,"Social Workers, All Other",717.0,38.08,30.39,39.19,46.93,79210.0
177,2022,53,Washington,21-1091,Health Education Specialists,1413.0,32.49,29.13,30.13,37.42,67570.0
178,2022,53,Washington,21-1092,Probation Officers and Correctional Treatment Specialists,2042.0,33.89,29.46,32.49,37.16,70480.0
179,2022,53,Washington,21-1093,Social and Human Service Assistants,7953.0,20.67,17.48,18.61,22.8,42990.0
180,2022,53,Washington,21-1094,Community Health Workers,2864.0,23.14,17.97,21.75,28.78,48130.0
181,2022,53,Washington,21-1099,"Community and Social Service Specialists, All Other",2510.0,28.93,20.26,27.45,37.34,60180.0
182,2022,53,Washington,21-2011,Clergy,716.0,34.08,28.86,35.3,37.51,70890.0
183,2022,53,Washington,21-2021,"Directors, Religious Activities and Education",174.0,33.61,23.47,29.19,46.49,69910.0
184,2022,53,Washington,21-2099,"Religious Workers, All Other",581.0,23.34,17.89,23.28,28.84,48550.0
185,2022,53,Washington,23-1011,Lawyers,11619.0,65.49,39.55,61.38,79.41,136210.0
186,2022,53,Washington,23-1012,Judicial Law Clerks,533.0,35.54,29.15,35.15,44.98,73920.0
187,2022,53,Washington,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",293.0,54.76,44.77,49.56,59.85,113890.0
188,2022,53,Washington,23-1023,"Judges, Magistrate Judges, and Magistrates",994.0,66.75,47.99,61.38,81.13,138840.0
189,2022,53,Washington,23-2011,Paralegals and Legal Assistants,6433.0,34.57,23.69,30.85,43.95,71900.0
190,2022,53,Washington,23-2093,"Title Examiners, Abstractors, and Searchers",1032.0,25.28,18.43,22.67,28.84,52580.0
191,2022,53,Washington,23-2099,"Legal Support Workers, All Other",1014.0,35.36,23.39,29.79,38.65,73550.0
192,2022,53,Washington,25-1011,"Business Teachers, Postsecondary",1402.0,,,,,108160.0
193,2022,53,Washington,25-1021,"Computer Science Teachers, Postsecondary",686.0,,,,,97750.0
194,2022,53,Washington,25-1022,"Mathematical Science Teachers, Postsecondary",857.0,,,,,89980.0
195,2022,53,Washington,25-1032,"Engineering Teachers, Postsecondary",589.0,,,,,131390.0
196,2022,53,Washington,25-1041,"Agricultural Sciences Teachers, Postsecondary",458.0,,,,,126720.0
197,2022,53,Washington,25-1042,"Biological Science Teachers, Postsecondary",819.0,,,,,90580.0
198,2022,53,Washington,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",148.0,,,,,88260.0
199,2022,53,Washington,25-1052,"Chemistry Teachers, Postsecondary",519.0,,,,,97410.0
200,2022,53,Washington,25-1053,"Environmental Science Teachers, Postsecondary",228.0,,,,,93450.0
201,2022,53,Washington,25-1054,"Physics Teachers, Postsecondary",272.0,,,,,92670.0
202,2022,53,Washington,25-1061,"Anthropology and Archeology Teachers, Postsecondary",218.0,,,,,86190.0
203,2022,53,Washington,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",120.0,,,,,70150.0
204,2022,53,Washington,25-1063,"Economics Teachers, Postsecondary",263.0,,,,,116500.0
205,2022,53,Washington,25-1064,"Geography Teachers, Postsecondary",52.0,,,,,79960.0
206,2022,53,Washington,25-1065,"Political Science Teachers, Postsecondary",238.0,,,,,81140.0
207,2022,53,Washington,25-1066,"Psychology Teachers, Postsecondary",1529.0,,,,,74460.0
208,2022,53,Washington,25-1067,"Sociology Teachers, Postsecondary",287.0,,,,,78940.0
209,2022,53,Washington,25-1069,"Social Sciences Teachers, Postsecondary, All Other",77.0,,,,,72680.0
210,2022,53,Washington,25-1071,"Health Specialties Teachers, Postsecondary",2147.0,,,,,167290.0
211,2022,53,Washington,25-1072,"Nursing Instructors and Teachers, Postsecondary",1392.0,,,,,80080.0
212,2022,53,Washington,25-1081,"Education Teachers, Postsecondary",1784.0,,,,,72540.0
213,2022,53,Washington,25-1082,"Library Science Teachers, Postsecondary",29.0,,,,,70350.0
214,2022,53,Washington,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",199.0,,,,,75470.0
215,2022,53,Washington,25-1113,"Social Work Teachers, Postsecondary",53.0,,,,,57570.0
216,2022,53,Washington,25-1121,"Art, Drama, and Music Teachers, Postsecondary",1617.0,,,,,70550.0
217,2022,53,Washington,25-1122,"Communications Teachers, Postsecondary",602.0,,,,,76100.0
218,2022,53,Washington,25-1123,"English Language and Literature Teachers, Postsecondary",1243.0,,,,,70210.0
219,2022,53,Washington,25-1124,"Foreign Language and Literature Teachers, Postsecondary",371.0,,,,,77070.0
220,2022,53,Washington,25-1125,"History Teachers, Postsecondary",376.0,,,,,77770.0
221,2022,53,Washington,25-1126,"Philosophy and Religion Teachers, Postsecondary",356.0,,,,,75900.0
222,2022,53,Washington,25-1192,"Family and Consumer Sciences Teachers, Postsecondary",158.0,,,,,74320.0
223,2022,53,Washington,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",378.0,,,,,68950.0
224,2022,53,Washington,25-1194,"Career/Technical Education Teachers, Postsecondary",3739.0,34.87,27.77,30.65,37.98,72530.0
225,2022,53,Washington,25-1199,"Postsecondary Teachers, All Other",505.0,,,,,75670.0
226,2022,53,Washington,25-2011,"Preschool Teachers, Except Special Education",10309.0,17.81,14.45,17.5,18.04,37040.0
227,2022,53,Washington,25-2012,"Kindergarten Teachers, Except Special Education",4812.0,,,,,77860.0
228,2022,53,Washington,25-2021,"Elementary School Teachers, Except Special Education",28556.0,,,,,83010.0
229,2022,53,Washington,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",10234.0,,,,,83460.0
230,2022,53,Washington,25-2023,"Career/Technical Education Teachers, Middle School",511.0,,,,,89820.0
231,2022,53,Washington,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",13671.0,,,,,85260.0
232,2022,53,Washington,25-2032,"Career/Technical Education Teachers, Secondary School",2868.0,,,,,86790.0
233,2022,53,Washington,25-2051,"Special Education Teachers, Preschool",930.0,,,,,69990.0
234,2022,53,Washington,25-2052,"Special Education Teachers, Kindergarten and Elementary School",3063.0,,,,,80510.0
235,2022,53,Washington,25-2057,"Special Education Teachers, Middle School",1363.0,,,,,81520.0
236,2022,53,Washington,25-2058,"Special Education Teachers, Secondary School",2207.0,,,,,83990.0
237,2022,53,Washington,25-2059,"Special Education Teachers, All Other",88.0,,,,,77890.0
238,2022,53,Washington,25-3011,"Adult Literacy, Remedial Educ., GED Teachers/Instructors",1536.0,29.67,23.9,29.26,36.55,61700.0
239,2022,53,Washington,25-3021,Self-Enrichment Teachers,6533.0,23.42,17.48,22.41,28.37,48710.0
240,2022,53,Washington,25-3031,"Substitute Teachers, Short-Term",9892.0,21.27,17.78,22.26,22.95,44230.0
241,2022,53,Washington,25-3041,Tutors,2018.0,19.57,17.13,18.1,22.65,40700.0
242,2022,53,Washington,25-3099,"Teachers and Instructors, All Other",1550.0,,,,,64310.0
243,2022,53,Washington,25-4011,Archivists,291.0,33.57,29.0,33.26,37.72,69830.0
244,2022,53,Washington,25-4012,Curators,238.0,31.1,23.23,29.34,37.17,64690.0
245,2022,53,Washington,25-4013,Museum Technicians and Conservators,147.0,25.02,17.58,22.96,29.73,52030.0
246,2022,53,Washington,25-4022,Librarians and Media Collections Specialists,2316.0,41.2,30.01,39.17,48.1,85690.0
247,2022,53,Washington,25-4031,Library Technicians,1333.0,25.9,22.65,23.51,28.99,53870.0
248,2022,53,Washington,25-9021,Farm and Home Management Educators,394.0,28.94,23.5,26.85,35.27,60190.0
249,2022,53,Washington,25-9031,Instructional Coordinators,3360.0,39.86,29.54,38.14,48.1,82900.0
250,2022,53,Washington,25-9044,"Teaching Assistants, Postsecondary",4196.0,,,,,39360.0
251,2022,53,Washington,25-9045,"Teaching Assistants, Except Postsecondary",33436.0,,,,,42130.0
252,2022,53,Washington,25-9099,"Educational Instruction and Library Workers, All Other",1965.0,27.3,21.63,27.42,31.15,56790.0
253,2022,53,Washington,27-1011,Art Directors,789.0,54.28,39.03,56.11,63.77,112900.0
254,2022,53,Washington,27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",275.0,32.21,23.69,37.52,38.79,67000.0
255,2022,53,Washington,27-1014,Special Effects Artists and Animators,2208.0,46.57,37.38,39.51,57.4,96860.0
256,2022,53,Washington,27-1019,"Artists and Related Workers, All Other",66.0,31.76,18.65,24.91,43.12,66050.0
257,2022,53,Washington,27-1021,Commercial and Industrial Designers,293.0,42.53,30.5,38.92,49.5,88460.0
258,2022,53,Washington,27-1022,Fashion Designers,405.0,44.42,34.8,39.65,50.56,92400.0
259,2022,53,Washington,27-1023,Floral Designers,887.0,17.15,14.52,17.16,18.19,35680.0
260,2022,53,Washington,27-1024,Graphic Designers,5808.0,36.26,23.77,30.29,39.0,75420.0
261,2022,53,Washington,27-1025,Interior Designers,1296.0,32.7,24.03,30.14,38.43,68020.0
262,2022,53,Washington,27-1026,Merchandise Displayers and Window Trimmers,3318.0,20.47,17.2,18.28,22.91,42570.0
